,summary,config,accuracies,name
0,{},{},[],mtblu6fm
1,"{""_runtime"":13017,""_step"":10,""_timestamp"":1758937230.9723964,""_wandb"":{""runtime"":13017},""accuracy"":0.43243243243243246,""loss"":0.06820478954830685,""round"":10}",{},"[np.float64(0.13513513513513514), np.float64(0.32432432432432434), np.float64(0.3783783783783784), np.float64(0.2972972972972973), np.float64(0.35135135135135137), np.float64(0.3783783783783784), np.float64(0.4594594594594595), np.float64(0.5405405405405406), np.float64(0.4864864864864865), np.float64(0.3783783783783784), np.float64(0.43243243243243246)]",2rs2p3o8
2,"{""_runtime"":1400,""_step"":10,""_timestamp"":1758969199.2316172,""_wandb"":{""runtime"":1400},""accuracy"":0.3725,""loss"":0.04173682183027268,""round"":10}",{},"[np.float64(0.1325), np.float64(0.39), np.float64(0.385), np.float64(0.385), np.float64(0.4125), np.float64(0.35), np.float64(0.39), np.float64(0.37), np.float64(0.3775), np.float64(0.4), np.float64(0.3725)]",jrtv3cqw
3,"{""_runtime"":1315,""_step"":49,""_timestamp"":1758969193.3222847,""_wandb"":{""runtime"":1315},""epoch"":4,""local_accuracy"":0.42375,""local_loss"":0.03884902596473694}",{},[],583zq665
4,"{""_runtime"":1314,""_step"":49,""_timestamp"":1758969191.9758246,""_wandb"":{""runtime"":1314},""epoch"":4,""local_accuracy"":0.4175,""local_loss"":0.0390901118516922}",{},[],hi88bhix
5,"{""_runtime"":23172,""_step"":10,""_timestamp"":1758994337.5958424,""_wandb"":{""runtime"":23172},""accuracy"":0.3684210526315789,""loss"":0.07323799007817318,""round"":10}",{},"[np.float64(0.05263157894736842), np.float64(0.21052631578947367), np.float64(0.15789473684210525), np.float64(0.3157894736842105), np.float64(0.10526315789473684), np.float64(0.10526315789473684), np.float64(0.3157894736842105), np.float64(0.21052631578947367), np.float64(0.3157894736842105), np.float64(0.2631578947368421), np.float64(0.3684210526315789)]",2pf362ki
6,"{""_runtime"":20889,""_step"":10,""_timestamp"":1759031958.5160687,""_wandb"":{""runtime"":20889},""accuracy"":0.405,""loss"":0.04209669917821885,""round"":10}",{},"[np.float64(0.23), np.float64(0.315), np.float64(0.3425), np.float64(0.335), np.float64(0.385), np.float64(0.37), np.float64(0.3725), np.float64(0.3925), np.float64(0.3575), np.float64(0.3775), np.float64(0.405)]",v4uf1jk4
7,"{""_runtime"":314,""_step"":2,""_timestamp"":1759055169.8174758,""_wandb"":{""runtime"":314},""accuracy"":0.4,""loss"":0.04194142132997513,""round"":2}",{},"[np.float64(0.1525), np.float64(0.365), np.float64(0.4)]",laapbv3g
8,"{""_runtime"":5257.234785503,""_step"":3,""_timestamp"":1759065860.846215,""_wandb"":{""runtime"":5257},""accuracy"":0.3661971830985915,""loss"":0.0568273856606282,""round"":3}",{},[],axkiqeth
9,"{""_runtime"":2122.314897105,""_step"":1,""_timestamp"":1759169143.6704564,""_wandb"":{""runtime"":2122},""accuracy"":0.345,""loss"":0.048674189150333405,""round"":1}",{},[],huwxmkh3
10,"{""_runtime"":2255.650781168,""_step"":0,""_timestamp"":1759175018.6783712,""_wandb"":{""runtime"":2255},""accuracy"":0.19718309859154928,""loss"":0.09451453114899112,""round"":0}",{},[],q1ws053x
11,"{""_runtime"":1944.04432341,""_step"":0,""_timestamp"":1759175018.6980195,""_wandb"":{""runtime"":1944},""accuracy"":0.18309859154929575,""loss"":0.09572233952267067,""round"":0}",{},[],guro9jz1
12,{},{},[],f2ocjxuy
